State,Date,Turnover rate
Andhra Pradesh,2020-01-31,11.26
Assam,2020-01-31,0.6
Bihar,2020-01-31,1.32
Chandigarh,2020-01-31,0.38
Chattisgarh,2020-01-31,0.62
Delhi,2020-01-31,4.13
Goa,2020-01-31,0.13
Gujarath,2020-01-31,8.6
Haryana,2020-01-31,6.79
Himachal Pradesh,2020-01-31,0.41
Jammu and Kashmir,2020-01-31,0.18
Jharkand,2020-01-31,1.24
Karnataka,2020-01-31,5.24
Kerala,2020-01-31,2.4
Madhya Pradesh,2020-01-31,2.97
Maharashrta,2020-01-31,13.71
Odisha,2020-01-31,1.35
Punjab,2020-01-31,1.71
Rajasthan,2020-01-31,5.17
Tamil Nadu,2020-01-31,14.2
Telangana,2020-01-31,2.97
Uttar Pradesh,2020-01-31,7.07
Uttarakhand,2020-01-31,1.21
West Bengal,2020-01-31,3.36
Andhra Pradesh,2020-02-29,10.41
Assam,2020-02-29,0.39
Bihar,2020-02-29,1.34
Chandigarh,2020-02-29,0.55
Chattisgarh,2020-02-29,0.66
Delhi,2020-02-29,4.39
Goa,2020-02-29,0.16
Gujarath,2020-02-29,8.17
Haryana,2020-02-29,7.26
Himachal Pradesh,2020-02-29,0.41
Jammu and Kashmir,2020-02-29,0.21
Jharkand,2020-02-29,1.56
Karnataka,2020-02-29,5.56
Kerala,2020-02-29,2.34
Madhya Pradesh,2020-02-29,2.94
Maharashrta,2020-02-29,13.78
Odisha,2020-02-29,1.14
Punjab,2020-02-29,1.63
Rajasthan,2020-02-29,5.06
Tamil Nadu,2020-02-29,14.24
Telangana,2020-02-29,3.21
Uttar Pradesh,2020-02-29,7.74
Uttarakhand,2020-02-29,1.12
West Bengal,2020-02-29,3.09
Andhra Pradesh,2020-03-31,9.79
Assam,2020-03-31,0.34
Bihar,2020-03-31,1.12
Chandigarh,2020-03-31,0.66
Chattisgarh,2020-03-31,0.64
Delhi,2020-03-31,4.61
Goa,2020-03-31,0.1
Gujarath,2020-03-31,7.73
Haryana,2020-03-31,9.17
Himachal Pradesh,2020-03-31,0.31
Jammu and Kashmir,2020-03-31,0.17
Jharkand,2020-03-31,1.47
Karnataka,2020-03-31,6.3
Kerala,2020-03-31,2.33
Madhya Pradesh,2020-03-31,2.74
Maharashrta,2020-03-31,13.69
Odisha,2020-03-31,1
Punjab,2020-03-31,1.62
Rajasthan,2020-03-31,5.03
Tamil Nadu,2020-03-31,13.61
Telangana,2020-03-31,3.26
Uttar Pradesh,2020-03-31,7.67
Uttarakhand,2020-03-31,0.86
West Bengal,2020-03-31,3.13
Andhra Pradesh,2020-04-30,8.76
